# AGE[Myr] MET SSP Mstars
   63.000 0.0037047    age25_z004        0.8596
   63.000 0.0075640    age25_z008        0.8578
   63.000 0.0190000    age25_z019        0.8615
   63.000 0.0315321    age25_z030        0.8591
   63.1   0.0037047    V00.06m0.71       0.8596
   63.1   0.0075640    V00.06m0.40       0.8578
   63.1   0.0190000    V00.06p0.00       0.8615
   63.1   0.0315321    V00.06p0.22       0.8591
   70.8   0.0037047    V00.07m0.71       0.8549
   70.8   0.0075640    V00.07m0.40       0.8535
   70.8   0.0190000    V00.07p0.00       0.8578
   70.8   0.0315321    V00.07p0.22       0.8554
  100.0   0.0037047    V00.10m0.71       0.8421
  100.0   0.0075640    V00.10m0.40       0.8403
  100.0   0.0190000    V00.10p0.00       0.8469
  100.0   0.0315321    V00.10p0.22       0.8453
  112.2   0.0037047    V00.11m0.71       0.8380
  112.2   0.0075640    V00.11m0.40       0.8357
  112.2   0.0190000    V00.11p0.00       0.8434
  112.2   0.0315321    V00.11p0.22       0.8421
  125.9   0.0037047    V00.12m0.71       0.8334
  125.9   0.0075640    V00.12m0.40       0.8309
  125.9   0.0190000    V00.12p0.00       0.8400
  125.9   0.0315321    V00.12p0.22       0.8387
  158.5   0.0037047    V00.15m0.71       0.8242
  158.5   0.0075640    V00.15m0.40       0.8220
  158.5   0.0190000    V00.15p0.00       0.8326
  158.5   0.0315321    V00.15p0.22       0.8315
  199.5   0.0037047    V00.19m0.71       0.8150
  199.5   0.0075640    V00.19m0.40       0.8130
  199.5   0.0190000    V00.19p0.00       0.8254
  199.5   0.0315321    V00.19p0.22       0.8247
  281.8   0.0037047    V00.28m0.71       0.8018
  281.8   0.0075640    V00.28m0.40       0.7993
  281.8   0.0190000    V00.28p0.00       0.8156
  281.8   0.0315321    V00.28p0.22       0.8148
  354.8   0.0037047    V00.35m0.71       0.7932
  354.8   0.0075640    V00.35m0.40       0.7905
  354.8   0.0190000    V00.35p0.00       0.8088
  354.8   0.0315321    V00.35p0.22       0.8085
  501.2   0.0037047    V00.50m0.71       0.7804
  501.2   0.0075640    V00.50m0.40       0.7778
  501.2   0.0190000    V00.50p0.00       0.7994
  501.2   0.0315321    V00.50p0.22       0.7993
  707.9   0.0037047    V00.70m0.71       0.7684
  707.9   0.0075640    V00.70m0.40       0.7658
  707.9   0.0190000    V00.70p0.00       0.7897
  707.9   0.0315321    V00.70p0.22       0.7897
  891.3   0.0037047    V00.89m0.71       0.7607
  891.3   0.0075640    V00.89m0.40       0.7583
  891.3   0.0190000    V00.89p0.00       0.7828
  891.3   0.0315321    V00.89p0.22       0.7832
 1122.0   0.0037047    V01.12m0.71       0.7534
 1122.0   0.0075640    V01.12m0.40       0.7507
 1122.0   0.0190000    V01.12p0.00       0.7759
 1122.0   0.0315321    V01.12p0.22       0.7766
 1258.9   0.0037047    V01.25m0.71       0.7493
 1258.9   0.0075640    V01.25m0.40       0.7459
 1258.9   0.0190000    V01.25p0.00       0.7724
 1258.9   0.0315321    V01.25p0.22       0.7733
 1412.5   0.0037047    V01.41m0.71       0.7439
 1412.5   0.0075640    V01.41m0.40       0.7417
 1412.5   0.0190000    V01.41p0.00       0.7689
 1412.5   0.0315321    V01.41p0.22       0.7698
 1995.3   0.0037047    V01.99m0.71       0.7336
 1995.3   0.0075640    V01.99m0.40       0.7314
 1995.3   0.0190000    V01.99p0.00       0.7550
 1995.3   0.0315321    V01.99p0.22       0.7561
 2511.9   0.0037047    V02.51m0.71       0.7270
 2511.9   0.0075640    V02.51m0.40       0.7249
 2511.9   0.0190000    V02.51p0.00       0.7487
 2511.9   0.0315321    V02.51p0.22       0.7497
 3548.1   0.0037047    V03.54m0.71       0.7182
 3548.1   0.0075640    V03.54m0.40       0.7168
 3548.1   0.0190000    V03.54p0.00       0.7401
 3548.1   0.0315321    V03.54p0.22       0.7409
 4466.8   0.0037047    V04.46m0.71       0.7128
 4466.8   0.0075640    V04.46m0.40       0.7113
 4466.8   0.0190000    V04.46p0.00       0.7344
 4466.8   0.0315321    V04.46p0.22       0.7357
 6309.6   0.0037047    V06.30m0.71       0.7053
 6309.6   0.0075640    V06.30m0.40       0.7041
 6309.6   0.0190000    V06.30p0.00       0.7274
 6309.6   0.0315321    V06.30p0.22       0.7280
 7943.3   0.0037047    V07.94m0.71       0.7007
 7943.3   0.0075640    V07.94m0.40       0.6997
 7943.3   0.0190000    V07.94p0.00       0.7233
 7943.3   0.0315321    V07.94p0.22       0.7239
10000.0   0.0037047    V10.00m0.71       0.6967
10000.0   0.0075640    V10.00m0.40       0.6957
10000.0   0.0190000    V10.00p0.00       0.7195
10000.0   0.0315321    V10.00p0.22       0.7197
12589.3   0.0037047    V12.58m0.71       0.6916
12589.3   0.0075640    V12.58m0.40       0.6894
12589.3   0.0190000    V12.58p0.00       0.7155
12589.3   0.0315321    V12.58p0.22       0.7159
14125.4   0.0037047    V14.12m0.71       0.6856
14125.4   0.0075640    V14.12m0.40       0.6834
14125.4   0.0190000    V14.12p0.00       0.7136
14125.4   0.0315321    V14.12p0.22       0.7140
